timestamp,layer,request,score
2026-01-07 09:36:54,GLOBAL,"post /login? host:127.0.0.1:5000 connection:keep-alive content-length:101 cache-control:max-age=0 sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" origin:http://127.0.0.1:5000 content-type:application/x-www-form-urlencoded upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjjc3jmx3rva2vuijoinjvlm2flogy0ogyxogqzmmnjodjjzmzhytq5mdzmodayymvjmtlhyyj9.z7styq.eapl5ehyyiytuinnk9jeju-gio0 session=eyjjc3jmx3rva2vuijoinjvlm2flogy0ogyxogqzmmnjodjjzmzhytq5mdzmodayymvjmtlhyyj9.z7styq.eapl5ehyyiytuinnk9jeju-gio0",0.4056
2026-01-07 09:36:54,GLOBAL,"get /login? host:127.0.0.1:5000 connection:keep-alive cache-control:max-age=0 upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisiljlz2lzdhjhdglvbibzdwnjzxnzznvsisbqbgvhc2ugbg9niglulijdfv19.av3b3g.8rdydkix0-cg2gim3wdpj_w1rco session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisiljlz2lzdhjhdglvbibzdwnjzxnzznvsisbqbgvhc2ugbg9niglulijdfv19.av3b3g.8rdydkix0-cg2gim3wdpj_w1rco",0.403
2026-01-07 09:37:40,GLOBAL,"post /login? host:127.0.0.1:5000 connection:keep-alive content-length:61 cache-control:max-age=0 sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" origin:http://127.0.0.1:5000 content-type:application/x-www-form-urlencoded upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfznjlc2giomzhbhnlfq.av3b3g.vpyhup-yzi9efagmo3pxamtyjyg session=eyjfznjlc2giomzhbhnlfq.av3b3g.vpyhup-yzi9efagmo3pxamtyjyg",0.4056
2026-01-07 09:37:40,GLOBAL,"get /login? host:127.0.0.1:5000 connection:keep-alive cache-control:max-age=0 upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3cda.l-yyo0mwtg5yn6hhnxb9dv4bygi session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3cda.l-yyo0mwtg5yn6hhnxb9dv4bygi",0.403
2026-01-07 09:37:47,GLOBAL,"post /login? host:127.0.0.1:5000 connection:keep-alive content-length:61 cache-control:max-age=0 sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" origin:http://127.0.0.1:5000 content-type:application/x-www-form-urlencoded upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfznjlc2giomzhbhnlfq.av3cda.3msa_ekudicx8oktv0blu9fskhc session=eyjfznjlc2giomzhbhnlfq.av3cda.3msa_ekudicx8oktv0blu9fskhc",0.4056
2026-01-07 09:37:47,GLOBAL,"get /login? host:127.0.0.1:5000 connection:keep-alive cache-control:max-age=0 upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3cew.x78m-cekps-a_thz5byc-dh8sau session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3cew.x78m-cekps-a_thz5byc-dh8sau",0.403
2026-01-07 09:37:53,GLOBAL,"post /login? host:127.0.0.1:5000 connection:keep-alive content-length:61 cache-control:max-age=0 sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" origin:http://127.0.0.1:5000 content-type:application/x-www-form-urlencoded upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfznjlc2giomzhbhnlfq.av3cew.nply8pwp0c9f5p58ytctn8oquu0 session=eyjfznjlc2giomzhbhnlfq.av3cew.nply8pwp0c9f5p58ytctn8oquu0",0.4056
2026-01-07 09:37:53,GLOBAL,"get /login? host:127.0.0.1:5000 connection:keep-alive cache-control:max-age=0 upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3cgq.shipby8ldv3xtk8yltxysumnub0 session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3cgq.shipby8ldv3xtk8yltxysumnub0",0.403
2026-01-07 09:37:58,GLOBAL,"post /login? host:127.0.0.1:5000 connection:keep-alive content-length:61 cache-control:max-age=0 sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" origin:http://127.0.0.1:5000 content-type:application/x-www-form-urlencoded upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfznjlc2giomzhbhnlfq.av3cgq.8glxyxkxlbr3qcehlmmz5fqlff8 session=eyjfznjlc2giomzhbhnlfq.av3cgq.8glxyxkxlbr3qcehlmmz5fqlff8",0.4056
2026-01-07 09:37:58,GLOBAL,"get /login? host:127.0.0.1:5000 connection:keep-alive cache-control:max-age=0 upgrade-insecure-requests:1 user-agent:mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/143.0.0.0 safari/537.36 accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7 sec-fetch-site:same-origin sec-fetch-mode:navigate sec-fetch-user:?1 sec-fetch-dest:document sec-ch-ua:""chromium"";v=""143"", ""not a(brand"";v=""24"" sec-ch-ua-mobile:?0 sec-ch-ua-platform:""macos"" referer:http://127.0.0.1:5000/login accept-encoding:gzip, deflate, br, zstd accept-language:en-us,en;q=0.9 cookie:session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3chg.qhkax6x2dn280-7txxj1omx8rnm session=eyjfzmxhc2hlcyi6w3siihqiolsibwvzc2fnzsisikludmfsawqgbg9naw4gy3jlzgvudglhbhmixx1dlcjfznjlc2giomzhbhnlfq.av3chg.qhkax6x2dn280-7txxj1omx8rnm",0.403
